Cereal_Name,food_code,hotcold,whgnt,sugnt,calcnt,fibnt, 
100% Bran,57318000,2,2,3,3,4,
100% Low Fat Natural Granola,57229000,2,4,3,2,3,
100% Natural Cereal,57319000,2,4,2,3,3,
"100% Natural Cereal, with oats, honey and raisins",57320500,2,3,2,3,3,
"100% Natural Granola, Oats & Honey",57320500,2,3,2,3,3,
"100% Natural Wholegrain Cereal with raisins, lowfat",57321500,2,3,2,3,2,
All-Bran,57101000,2,1,1,4,4,
All-Bran Bran Buds,57110000,2,1,3,3,4,
All-Bran with Extra Fiber,57101020,2,1,1,4,4,
Alpen,57102000,2,4,1,3,3,
Alpha-Bits,57103000,2,4,4,2,2,
Alpha-Bits with marshmallows,57103020,2,3,4,1,1,
Amaranth Flakes,57103050,2,4,1,1,3,
Apple Jacks,57104000,2,1,4,1,3,
Apple Zaps,57404200,2,1,4,4,2,
"Apple Zings, Malt-O-Meal",57404200,2,1,4,4,2,
Banana Nut Crunch Cereal,57106050,2,3,2,2,3,
Barley,56207340,1,2,2,2,1,
Basic 4,57106100,2,2,2,4,2,
"Berry Colossal Crunch, Malt-O-Meal",57305300,2,1,4,1,1,
Blueberry Morning,57106530,2,2,2,2,2,
Booberry,57107000,2,1,4,3,1,
Bran,57207000,2,3,2,3,4,
Bran Buds,57110000,2,1,3,3,4,
Bran flakes,57207000,2,3,2,3,4,
"Bran, Nabisco",57318000,2,2,3,3,4,
Branola,56207190,1,2,1,1,2,
Buckwheat groats,56200490,1,2,1,1,3,
Bulgur,56207130,1,2,1,2,3,
Cap'n Crunch,57117000,2,2,4,1,1,
Cap'n Crunch's Christmas Crunch,57117500,2,3,4,1,1,
Cap'n Crunch's Crunch Berries,57119000,2,3,4,1,1,
Cap'n Crunch's Oops! ChocoDonuts,57120000,2,2,3,1,1,
Cap'n Crunch's Peanut Butter Crunch,57120000,2,2,3,1,1,
"Cereal, NFS",57000000,2,2,2,3,2,
"Cereal, cooked, NFS",56200300,1,2,1,2,2,
Cheerios,57123000,2,4,1,4,4,
"Cheerios, Apple Cinnamon",57103100,2,4,4,4,2,
"Cheerios, Berry Burst",57106260,2,1,3,4,3,
"Cheerios, Berry Burst Strawberry",57106260,2,1,3,4,3,
