gender,AGEGRP,sp50hcereal,sp50ccereal,sp50icecream,sp50regsoda,sp50sportfrdrnk,sp50cookietc,sp50donut,sp50sugincof,sp50candy,dp50cheese,dp50pizza,dp50milk,dp50icecream,vp50frtj,vp50fruit,vp50salad,vp50othpot,vp50drbean,vp50othveg,vp50frfry,vp50tomsc,vp50salsa,vp50pizza,gp50hcereal,gp50ccereal,gp50whgrd,gp50popcorn,gp50brownrice,gp50cheese,gp50pizza,gp50milk,gp50icecream,gp50regsoda,gp50sportfrdrnk,gp50cookietc,gp50donut,gp50sugincof,gp50candy,gp50frtj,gp50fruit,gp50salad,gp50othpot,gp50drbean,gp50othveg,gp50frfry,gp50tomsc,gp50salsa, 
1,1,0.671760,1.546500,2.345500,3.142293,4.405266,1.814927,2.405700,1.932288,1.856000,0.379000,0.569568,0.773875,0.073260,0.734405,0.593960,0.124988,0.341880,0.321000,0.249900,0.320600,0.351000,0.051383,0.253843,154.000000,22.503333,26.000000,12.250000,65.340000,20.129000,95.000000,190.625000,64.500000,124.000000,209.000000,22.000000,53.000000,148.000000,15.000000,182.775000,88.800000,13.750000,61.000000,68.052000,51.350000,51.000000,60.021000,7.750000,
1,2,0.000000,2.509758,3.253000,4.714080,4.617000,2.054360,3.100420,1.932288,2.225000,0.470500,0.706000,0.812500,0.132000,0.751000,0.637200,0.130669,0.499800,0.250038,0.306500,0.318000,0.425250,0.106080,0.256000,202.250000,34.275000,34.500000,18.380000,65.340000,26.683333,117.000000,200.428571,78.000000,207.425000,209.000000,25.520000,60.000000,148.000000,20.500000,187.200000,97.333333,13.750000,105.000000,53.007950,55.976000,49.880000,72.717750,16.000000,
1,3,0.000000,3.428864,3.253000,7.588000,4.692120,2.640000,2.737800,2.572000,1.778000,0.411953,0.759935,0.906413,0.102000,0.812000,0.702503,0.249975,0.500000,0.342000,0.312400,0.372000,0.586703,0.159120,0.284000,234.000000,38.155000,52.000000,21.000000,65.340000,21.516667,134.700000,223.666667,87.000000,344.650000,224.750000,30.000000,53.000000,207.200000,15.000000,202.310000,108.571429,27.500000,105.000000,72.504000,58.812500,58.000000,100.326213,24.000000,
1,4,3.732000,3.421000,2.977730,6.746025,4.790000,2.573000,4.395000,2.572000,3.148000,0.542017,0.756010,0.969000,0.105000,0.812000,0.824490,0.145440,0.750000,0.332000,0.347700,0.545000,0.316000,0.193000,0.283250,307.130000,40.000000,45.500000,28.000000,65.340000,28.100000,131.480000,244.000000,78.000000,305.450000,265.630000,35.900000,86.000000,207.200000,22.000000,201.500000,118.000000,16.000000,138.000000,70.384000,67.500000,85.000000,54.036000,26.700000,
1,5,3.742200,3.607222,3.875520,8.271500,5.966880,3.482000,3.826746,3.622500,2.618980,0.592920,0.717858,0.998400,0.182500,0.843000,0.858231,0.145440,0.515485,0.440250,0.397750,0.375000,0.587000,0.231000,0.290000,308.000000,42.500000,51.000000,33.833333,159.000000,32.928000,134.700000,244.000000,96.500000,368.000000,293.815000,40.380000,76.000000,310.800000,21.000000,209.250000,118.000000,16.000000,171.000000,93.333000,75.541500,57.000000,100.377000,32.000000,
1,6,2.910960,4.318000,4.392990,8.938500,6.841511,3.180000,4.109025,3.622500,2.674000,0.552181,0.982000,1.125000,0.226000,1.249333,0.983798,0.218000,0.765500,0.438150,0.316223,0.479532,0.733000,0.116000,0.401795,234.000000,53.810000,52.000000,44.000000,159.000000,31.950000,176.000000,274.500000,110.000000,369.000000,370.800000,40.000000,81.000000,310.800000,23.100000,310.200000,128.666667,24.000000,157.500000,92.887800,78.000000,74.810000,125.343000,16.000000,
1,7,0.000000,3.946876,6.650000,10.710667,7.978000,4.058775,4.395000,4.064000,2.731076,0.666792,1.114109,1.313025,0.281174,1.312000,0.976005,0.250000,0.700590,0.630700,0.318160,0.545000,0.525000,0.309555,0.496000,242.000000,56.310000,52.000000,23.560000,217.000000,36.209040,207.820000,320.250000,159.500000,442.240000,453.130000,49.500000,86.500000,340.400000,22.500000,325.500000,136.000000,27.500000,143.065000,133.708400,80.000000,85.000000,89.775000,46.690000,
1,8,0.628500,4.631570,3.975072,11.755190,8.157000,3.999500,4.811400,4.064000,4.249883,0.667000,1.453760,1.281500,0.199778,1.439000,0.955500,0.249975,1.000000,0.482000,0.309015,0.711510,0.708500,0.206392,0.546259,212.065000,58.500000,52.000000,42.500000,217.000000,33.603873,274.890000,323.300000,119.880000,529.166667,503.500000,56.000000,104.000000,340.400000,28.500000,357.940000,138.000000,27.500000,210.000000,102.184000,70.928000,111.000000,121.153500,31.130000,
1,9,1.758667,3.840000,5.052000,11.601377,8.559500,3.761000,4.282600,4.241000,3.475000,0.708341,1.317000,1.313025,0.261840,1.480620,0.867300,0.291000,0.836000,0.563000,0.333401,0.622000,0.612000,0.177021,0.647000,308.000000,59.095000,52.000000,25.380000,170.630000,37.044000,261.380000,325.333333,132.000000,495.637500,496.000000,53.000000,93.000000,253.300000,28.000000,372.000000,126.666667,30.000000,147.000000,119.356000,73.757143,99.065000,104.652000,26.700000,
1,10,0.000000,3.939187,5.262000,10.544000,8.232800,3.756900,4.262250,3.807000,3.259468,0.584210,1.500000,1.313025,0.238967,1.458000,0.911790,0.375000,0.767025,0.524700,0.410997,0.663435,0.688000,0.212160,0.729000,256.000000,63.440000,50.666667,54.310000,170.630000,29.767500,318.090000,320.250000,124.875000,461.250000,453.130000,53.333333,83.250000,83.975000,26.000000,372.000000,127.500000,41.250000,157.500000,111.236400,80.500000,114.000000,117.648000,32.000000,
